temp_level,moisture,wind_risk,rain_status,advisory_type,status,severity_score,title,message,time_window,icon_type,source,uid,created_at,updated_at,deleted_at
Moderate,Very Dry,Calm,Dry,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,d3d7f7b0-4d26-4228-93ee-b572f487c75b,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Calm,Dry,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,6a4c07ec-c1a2-4948-886c-77e1cf151e56,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Calm,Dry,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,562b0533-1bb5-4855-9837-901b0a952d1b,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Calm,Dry,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,7963962d-4240-4b6e-863f-e573d97e6086,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Calm,Light Rain,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,f7c38ac3-55cc-4829-9975-682db44172be,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Calm,Light Rain,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,a5fcabff-1d7c-4733-abb9-d858e53c4988,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Calm,Light Rain,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,bee38bca-b0e8-48db-b9a0-fa2335038466,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Calm,Light Rain,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,88e14967-9551-4b81-8482-8038f7401ab3,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Calm,Heavy Rain,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,52fd6b9f-dfc4-4952-9f7a-1317c52f45e6,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Calm,Heavy Rain,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,713e7ca4-3821-4992-9945-ce0b6c13f7e1,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Calm,Heavy Rain,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,b9019501-a465-4c4f-8637-66ab7cd45916,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Calm,Heavy Rain,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,356bb89f-151d-4104-ba9a-e47704952e7d,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Breezy,Dry,irrigation,CAUTION,45,Irrigation Caution,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,Before 8 AM,droplet,manual,8309a7a0-d52c-413b-bd6c-b470623f28be,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Breezy,Dry,spraying,CAUTION,45,Spray With Caution,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,Before 10 AM,spray,manual,9533e801-9315-4190-a007-9e31cd17b5d2,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Breezy,Dry,fungal_risk,CAUTION,45,Monitor Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,warning,manual,3b03d24d-e832-415c-b9cf-94c01b687b85,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Breezy,Dry,field_work,CAUTION,45,Limit Field Work Hours,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,Before 10 AM or After 5 PM,tractor,manual,5ad09538-b483-4853-aaaa-07238bed2244,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Breezy,Light Rain,irrigation,CAUTION,45,Irrigation Caution,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,Before 8 AM,droplet,manual,78431290-c44e-4830-8229-2f886f8bec4c,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Breezy,Light Rain,spraying,CAUTION,45,Spray With Caution,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,Before 10 AM,spray,manual,7df746a4-39bc-4a11-b27e-708f6f11a327,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Breezy,Light Rain,fungal_risk,CAUTION,45,Monitor Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,warning,manual,0f4b8510-e3d8-4761-8d3b-373f43f7cae1,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
