category,item_name,disease_name,scientific_name,treatment,language,uid,created_at,updated_at,deleted_at
crop,Ajwain,Alternaria Blight (Fungal),Alternaria alternata,"Spray Mancozeb (2g/L). Use healthy, clean seeds for sowing.",en,knowledge_base_42b5b1cb-d469-4044-8292-914e1a1e2af9,2026-01-12 19:09:08.013000+00:00,,
crop,Alfalfa,Leaf Spot (Fungal),Pseudopeziza medicaginis,Small dark brown spots appear on leaves causing early leaf drop. Spray Mancozeb (2g/liter). Remove infected fodder after cutting.,en,knowledge_base_0cba28be-b298-4eb4-a1a1-491799bce7c6,2026-01-12 19:09:08.013000+00:00,,
crop,Alfalfa,Downy Mildew (Fungal),Peronospora trifoliorum,Yellow patches on leaves with grey mold underneath. Spray Metalaxyl + Mancozeb (2g/liter). Grow crop in sunny fields with good drainage.,en,knowledge_base_349f042a-57f0-4fb3-a423-063c7f7f2c6b,2026-01-12 19:09:08.013000+00:00,,
crop,Alfalfa,Powdery Mildew (Fungal),Erysiphe pisi,White powdery growth on leaves and stems. Spray Wettable Sulphur (3g/liter). Reduce excess nitrogen fertilizer.,en,knowledge_base_2936351d-063b-48d4-b853-7701a8a6f080,2026-01-12 19:09:08.013000+00:00,,
crop,Alfalfa,Root Rot (Fungal),Rhizoctonia solani / Fusarium spp.,Poor regrowth after cutting; roots turn black and decay. Improve drainage and apply Trichoderma mixed with farmyard manure before sowing.,en,knowledge_base_46e4a57a-dcb0-4a4d-9b70-c3767472d58a,2026-01-12 19:09:08.013000+00:00,,
crop,Aloe Vera,Leaf Spot (Fungal),Alternaria alternata,Spray Mancozeb (2.5g/L). Avoid overhead sprinklers to keep leaves dry.,en,knowledge_base_67a1d098-f96f-48e8-a685-738089b8be05,2026-01-12 19:09:08.013000+00:00,,
crop,Aloe Vera,Soft Rot (Bacterial),Pectobacterium chrysanthemi,Drench soil with Copper Oxychloride (3g/L) + Streptocycline. Improve drainage.,en,knowledge_base_1d28e876-5165-4adc-bfd7-c739b6e92bd5,2026-01-12 19:09:08.013000+00:00,,
crop,Amaranthus,Cercospora Leaf Spot (Fungal),Cercospora beticola,"Small brown spots with light centers appear on leaves and later join together causing drying. Spray Mancozeb (2g/liter) or Chlorothalonil (2g/liter). Avoid overcrowding, water only at the base, and remove badly infected leaves.",en,knowledge_base_323c68fb-3335-4f71-a549-e01da2bbd3ce,2026-01-12 19:09:08.013000+00:00,,
crop,Amaranthus,Alternaria Leaf Blight (Fungal),Alternaria alternata,"Dark brown circular spots with target-like rings appear on older leaves. Spray Carbendazim (1g/liter) or Propiconazole (1ml/liter). Keep the field clean, remove old crop debris, and ensure good airflow.",en,knowledge_base_14e7e1ad-d148-4eb0-b61d-b2c7cf26c037,2026-01-12 19:09:08.013000+00:00,,
crop,Amaranthus,Powdery Mildew (Fungal),Erysiphe polygoni,"White powdery coating appears on leaves, causing yellowing and stunted growth. Spray Wettable Sulphur (3g/liter) or Hexaconazole (2ml/liter). Avoid excess nitrogen fertilizer.",en,knowledge_base_306cefe6-73a8-4ecf-accb-f9d5a51799d4,2026-01-12 19:09:08.013000+00:00,,
crop,Amaranthus,Downy Mildew (Fungal),Peronospora spp.,Yellow patches appear on the upper surface and grey-purple fuzz underneath. Spray Metalaxyl + Mancozeb (2g/liter). Improve drainage and avoid evening irrigation.,en,knowledge_base_3dba487f-83bd-4173-a33a-07e3b665d329,2026-01-12 19:09:08.013000+00:00,,
crop,Amaranthus,Mosaic Virus (Viral),Amaranthus mosaic virus,Yellow mottling and distorted leaves lead to poor growth. No cure available. Control aphids using Neem oil (5ml/liter) or Imidacloprid (0.5ml/liter). Remove infected plants early.,en,knowledge_base_f2e043c1-d97a-49dd-a694-a223fe5b2c91,2026-01-12 19:09:08.013000+00:00,,
crop,Arhar,Fusarium Wilt (Fungal),Fusarium udum,Treat seeds with Trichoderma (10g/kg). Rotate crop with Sorghum to clean soil.,en,knowledge_base_aec4d864-1f31-42bb-b368-2846d6d30fcc,2026-01-12 19:09:08.013000+00:00,,
crop,Arhar,Sterility Mosaic (Viral),Sterility mosaic virus,Control mites using Fenazaquin (1ml/L). Remove and burn bush-like plants immediately.,en,knowledge_base_25047ccd-63ac-4175-8889-0e2d0e0f2beb,2026-01-12 19:09:08.013000+00:00,,
crop,Arrowroot,Rhizome Rot (Fungal),Pythium aphanidermatum,Underground rhizomes become soft and foul-smelling. Drench soil with Copper Oxychloride (2g/liter). Grow crop on raised beds to avoid water stagnation.,en,knowledge_base_241e63dc-df47-44f4-b5a3-4ff1474a169f,2026-01-12 19:09:08.013000+00:00,,
crop,Arrowroot,Leaf Blight (Fungal),Colletotrichum gloeosporioides,Large brown patches spread from leaf tips downward. Spray Mancozeb (2g/liter). Remove infected leaves and improve air circulation.,en,knowledge_base_9553ac24-46e6-456b-ad31-bc8b70310783,2026-01-12 19:09:08.013000+00:00,,
crop,Arrowroot,Mosaic Virus (Viral),Arrowroot mosaic virus,Yellow streaks and narrow leaves reduce growth. No cure available. Control sucking insects and remove infected plants immediately.,en,knowledge_base_e018835f-b504-4151-8040-de032b6742f2,2026-01-12 19:09:08.013000+00:00,,
crop,Artichoke,Ramularia Leaf Spot (Fungal),Ramularia cynarae,Spray Chlorothalonil (2g/L). Improve air circulation around plants.,en,knowledge_base_7cbcdbf5-0eab-4230-ae69-63c619d0f196,2026-01-12 19:09:08.013000+00:00,,
crop,Ash Gourd,Powdery Mildew (Fungal),Erysiphe cichoracearum,Spray Wettable Sulphur (2g/L) or Dinocap when white powder appears.,en,knowledge_base_2819b163-0b5e-4aae-a13a-68f064249462,2026-01-12 19:09:08.013000+00:00,,
crop,Ash Gourd,Downy Mildew (Fungal),Pseudoperonospora cubensis,Spray Metalaxyl + Mancozeb (2g/L). Avoid watering leaves in the evening.,en,knowledge_base_5565ce24-3753-463f-ab8d-c66cd49e4267,2026-01-12 19:09:08.013000+00:00,,
crop,Asparagus,Rust (Fungal),Puccinia asparagi,Orange to brown powdery pustules appear on stems and leaves. Spray Mancozeb (2g/liter) or Propiconazole (1ml/liter). Remove infected stems and ensure good air circulation.,en,knowledge_base_1512900a-7541-4bd8-a5fb-903b2b27bc3d,2026-01-12 19:09:08.013000+00:00,,
crop,Asparagus,Purple Spot (Fungal),Stemphylium vesicarium,"Small purple spots develop on spears and leaves, reducing quality. Spray Chlorothalonil (2g/liter) or Carbendazim (1g/liter). Destroy old crop remains after harvest.",en,knowledge_base_b66757f8-97e5-45c5-bba4-4ee8e3526ef0,2026-01-12 19:09:08.013000+00:00,,
crop,Asparagus,Fusarium Crown & Root Rot (Fungal),Fusarium oxysporum f.sp. asparagi,"Plants turn yellow, weak, and slowly die from the base. No chemical cure. Use disease-free planting material, mix Trichoderma with compost, and avoid waterlogging.",en,knowledge_base_63f771ef-097a-454d-8555-cbcebc0692a0,2026-01-12 19:09:08.013000+00:00,,
crop,Bajra,Ergot,Claviceps fusiformis,Wash seeds in 10% salt water to remove floating fungus. Spray Carbendazim.,en,knowledge_base_676bc42e-3e99-4989-9d7c-a74059cc6a62,2026-01-12 19:09:08.013000+00:00,,
crop,Bajra,Ergot,Claviceps fusiformis,Remove sclerotia with salt water floatation. Spray Carbendazim.,en,knowledge_base_86c33202-fc4e-4ef2-8213-0d218db43902,2026-01-12 19:09:08.013000+00:00,,
crop,Bajra,Downy Mildew (Green Ear),Sclerospora graminicola,Treat seeds with Metalaxyl (6g/kg). Remove infected plants immediately.,en,knowledge_base_633ff87d-198b-4eac-a56c-991a4238d6db,2026-01-12 19:09:08.013000+00:00,,
crop,Banana,Panama Wilt,Fusarium oxysporum,Drench soil with Trichoderma. Use resistant varieties like Cavendish.,en,knowledge_base_0c2e2a97-eca0-49d8-a4e0-c15668d7acda,2026-01-12 19:09:08.013000+00:00,,
crop,Banana,Sigatoka Leaf Spot,Mycosphaerella musicola,Spray Propiconazole (1ml/L) or Mancozeb. Cut and burn severely infected leaves.,en,knowledge_base_2c569632-a500-40d0-96bc-040bdcdb329d,2026-01-12 19:09:08.013000+00:00,,
crop,Banana,Bunchy Top,Banana bunchy top virus,Inject herbicide to kill infected plants. Control aphids with Imidacloprid spray.,en,knowledge_base_197ce30a-bc68-4b5b-b55b-74ccaf8c2a0c,2026-01-12 19:09:08.013000+00:00,,
