uid,created_at,updated_at,deleted_at,code,name_en,family,horizon,water_need,cost_class,main_zones_mask,note,name_hn,name_kn,name_ta,name_te,name_ml,name_mr,name_gu,name_bn,name_pa,name_ur,name_ne,name_or,name_as,icon_url
crop-002,2026-08-10 09:47:53.589862+00:00,,,2,Wheat,Cereal,SEASONAL,MEDIUM,MEDIUM,184,Cool winters only,गेहूं,ಗೋಧಿ,கோதுமை,గోధుమ,ഗോതമ്പ്,गहू,ઘઉં,গম,ਕਣਕ,گندم,गहुँ,ଗହମ,ঘেঁহু,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Wheat.jpeg
crop-006,2026-08-10 09:47:53.589862+00:00,,,6,Finger millet,Millet,SEASONAL,LOW,LOW,578,South staple,रागी / मडुआ,ರಾಗಿ,கேழ்வரகு / ராகி,రాగులు,പഞ്ഞപ്പുല്ല് / രാഗി,नाचणी / रागी,રાગી / નાગલી,মারুয়া / রাগি,ਰਾਗੀ,راگی,कोदो,ମାଣ୍ଡିଆ,মৰুৱা,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Finger_Millet.jpeg
crop-008,2026-08-10 09:47:53.589862+00:00,,,8,Kodo millet,Millet,SEASONAL,LOW,LOW,192,Poor-soil hardy,कोदो,ಅರ್ಕ,வரகு,అరికెలు,വരക്,कोदो / कोद्रा,કોદરી,কোদা,ਕੋਦੋ,کودو,कोदो बाजरा,କୋଦୁଅ,কোডো,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Kodo_Millet.png
crop-011,2026-08-10 09:47:53.589862+00:00,,,11,Chickpea,Pulse,SEASONAL,LOW,LOW,912,N-fixer after rice,चना,ಕಡಲೆ,கொண்டைக்கடலை,శనగలు,കടല,हरभरा / चणा,ચણા,ছোলা,ਛੋਲੇ,چنا,चना,ଚଣା / ବୁଟ,বুট মাহ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/chickpea.jpg
crop-012,2026-08-10 09:47:53.589862+00:00,,,12,Pigeon pea,Pulse,SEASONAL,LOW,MEDIUM,960,Good intercrop,अरहर / तुअर,ತೊಗರಿ,துவரை,కందులు,തുവര,तूर,તુવેર,অড়হর,ਤੂਰ / ਅਰਹਰ,ارہر / دال تور,रहर दाल,ହରଡ଼,অৰহৰ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Pigeon_Pea.jpg
crop-013,2026-08-10 09:47:53.589862+00:00,,,13,Green gram,Pulse,SEASONAL,LOW,LOW,944,Fits between crops,मूंग,ಹೆಸರು ಕಾಳು,பாசிப்பயறு,పెసలు,ചെറുപയർ,मूग,મગ,মুগ ডাল,ਮੂੰਗੀ,مونگ,मुंग,ମୁଗ,মগু মাহ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Green_Gram.png
crop-014,2026-08-10 09:47:53.589862+00:00,,,14,Black gram,Pulse,SEASONAL,LOW,LOW,840,Rice-fallow crop,उड़द,ಉದ್ದು,உளுந்து,మినుములు,ഉഴുന്ന്,उडीद,અડદ,মাষকলাই / বিউলি ডাল,ਮਾਂਹ / ਉੜਦ,ماش / اڑد,मास,ବିରି,মাটি মাহ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Black_Gram.png
crop-015,2026-08-10 09:47:53.589862+00:00,,,15,Lentil,Pulse,SEASONAL,LOW,LOW,88,Eastern plains,मसूर,ಮಸೂರ,மைசூர் பருப்பு,మసూర పప్పు,മസൂർ പരിപ്പ്,मसूर,મસૂર,মসুর ডাল,ਮਸਰ,مسور,मुसुरो,ମସୁର,মচুৰ মাহ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Lentil.jpg
crop-019,2026-08-10 09:47:53.589862+00:00,,,19,Horse gram,Pulse,SEASONAL,LOW,LOW,576,Very hardy,कुलथी,ಹುರುಳಿ,கொள்ளு,ఉలవలు,മുതിര,कुळीथ / हुलगा,કુળથી,কুলথি ডাল,ਕੁਲਥੀ,کلتھی,गहत,କୋଳଥ,কোলথ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Horse_Gram.png
crop-020,2026-08-10 09:47:53.589862+00:00,,,20,Rajma,Pulse,SEASONAL,MEDIUM,LOW,131,Hill pulse,राजमा,ರಾಜ್ಮಾ,ராஜ்மா,రాజ్మా,രാജ്മ,राजमा,રાજમા,রাজমা,ਰਾਜਮਾਂਹ,راجما,राजमा,ରାଜମା,ৰাজমাহ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Rajma.jpeg
